# Design Points of Design of Experiments,,,,,,
# Latin Hypercube Sampling Design : User-Defined Samples : Random Generator Seed = 0 : Number of Samples = 120,,,,,,
# ,P1 - MiddleChord (m) ,P20 - HalfSpanLeft (m) ,P125 - lift-op,P126 - drag-op,P124 - SinkRate (m^-1) ,P127 - sa-op
Name,P1,P20,P125,P126,P124,P127
81,0.12225,0.07625,0.027347646,0.004353914,9.376159914,0.010542653
82,0.09425,0.13625,0.054400694,0.006684438,4.38094777,0.014460402
83,0.13625,0.13125,0.067410625,0.008485851,3.449222588,0.019758923
84,0.18175,0.19125,0.14175426,0.015928083,1.536091686,0.037747169
85,0.11875,0.09875,0.04099095,0.005622276,5.912493252,0.013128617
86,0.21325,0.17375,0.13747148,0.016391627,1.603082873,0.040243371
87,0.20625,0.13875,0.094234719,0.012409957,2.421063499,0.031397522
88,0.16775,0.19375,0.13691721,0.015402879,1.616988461,0.035352151
89,0.09075,0.12625,0.046774101,0.006037749,5.244675366,0.0129508
90,0.08375,0.19625,0.082211329,0.008705018,2.705635038,0.0186297
91,0.13275,0.15375,0.084491045,0.009989604,2.712295914,0.022490046
92,0.21675,0.09625,0.054464822,0.008725343,4.475810346,0.023521952
93,0.24125,0.18375,0.16177749,0.019023495,1.332818993,0.048115388
94,0.10125,0.09125,0.033654978,0.004640693,7.356785895,0.010438583
95,0.19225,0.14125,0.094449976,0.012022901,2.401427879,0.029749104
96,0.16425,0.12375,0.070689054,0.00930172,3.307669813,0.022388538
97,0.20275,0.11875,0.072042628,0.010220467,3.237239307,0.026657734
98,0.17825,0.09375,0.04688471,0.00726383,5.23027286,0.018714964
99,0.24475,0.11625,0.077222291,0.011690963,3.0569762,0.031760579
100,0.12575,0.17125,0.093692702,0.010659147,2.412073417,0.0237436
101,0.19575,0.17875,0.13595877,0.015693721,1.605524663,0.038018608
102,0.20975,0.16875,0.1307596,0.015707846,1.693343064,0.038487758
103,0.14325,0.12875,0.068882644,0.008716126,3.379085359,0.020357256
104,0.12925,0.17625,0.099115994,0.011226889,2.272249625,0.025071225
105,0.11175,0.08625,0.031553354,0.004823751,8.263270231,0.010847491
106,0.23075,0.14375,0.10664583,0.014209645,2.137994335,0.036418472
107,0.16075,0.07875,0.033814653,0.005506538,7.399648069,0.014322551
108,0.15725,0.10875,0.054508124,0.007761517,4.429471061,0.01895858
109,0.14675,0.18625,0.11714488,0.013173747,1.900590773,0.029886253
110,0.10475,0.11125,0.04430322,0.005955135,5.584826882,0.01307549
111,0.19925,0.10125,0.05584169,0.00841003,4.241921917,0.022573251
112,0.18875,0.15875,0.11115332,0.013635276,2.035685419,0.032669254
113,0.17475,0.13375,0.082761587,0.010603417,2.780373024,0.025656601
114,0.11525,0.16125,0.079813201,0.009349465,2.888679028,0.020603961
115,0.07675,0.14625,0.051772231,0.006540239,4.903326705,0.012820794
